0	0.318825
0.02	0.39853125
0.04	0.4782375
0.06	0.55794375
0.08	0.63765
0.1	0.71735625
0.12	0.7970625
0.2	0.7970625
0.4	0.7970625
0.6	0.7970625
0.8	0.597796875
1	0.4782375
1.2	0.39853125
1.4	0.341598214
1.6	0.298898438
1.8	0.2656875
2	0.23911875
2.2	0.197618802
2.4	0.166054688
2.6	0.141490385
2.8	0.121999362
3	0.106275
3.2	0.093405762
3.4	0.082740052
3.6	0.073802083
3.8	0.066237881
4	0.059779688
4.2	0.054221939
4.4	0.0494047
4.6	0.045202032
4.8	0.041513672
5	0.038259
5.2	0.035372596
5.4	0.032800926
5.6	0.030499841
5.8	0.028432669
6	0.02656875
